city,country,description,location,State,state_abbrev,longitude,latitude,city_longitude,city_latitude,Audio Evidence,Image/Video/Visual Evidence,Haunted Places Date,Haunted Places Witness Count,Time of Day,Apparition Type,Event Type,Deaths per Year,Average Potential Life Years Lost per Death,"Deaths per 10,000 Adults",Percentage of Adults who Binge Drink 1+ Times per Month,Median Drinks per Binge,Top 25% Drinks per Binge,Median Binge per Month,Top 25% Binge per Month,Increase in Alcohol Deaths per Capita from 2015 to 2019,Male Proportion of Deaths,Percent Deaths from Chronic Causes,Percent Deaths from Acute Causes,Percent Deaths 35+,Percent Deaths under 21,Years of Life Lost per Year,Taxpayer Cost in 2010 (billions),Inflation Adjusted Cost to 2022 (billions),Inflation Adjusted Per Drink (2022),avg_violent_crime,avg_murder_manslaughter,avg_property_crime,avg_temp_rank,avg_precip_rank,precip_category,"Top_6_Primary_Substances (Per 100,000)","Alcohol (Per 100,000)","Heroin (Per 100,000)","Methamphetamine (Per 100,000)","Other Opiates/Synthetics (Per 100,000)","Marijuana/Hashish (Per 100,000)","Cocaine (Per 100,000)",daylight_hours,Filename,Caption,Detected Objects_x,Entity Labels,Entity Texts,GeoTopic Name,GeoTopic Latitude,GeoTopic Longitude,Detected Objects_y
Stronach,United States,In the Mid 1800's a family of four died in a tragic fire. 2 children were killed in the fire. They loved to play in the Little Manistee River nearby. Some nights it is said you can here laughter of children and splashing and see the ripples of something in the water.,Old Stronach Bridge cemetery,Michigan,MI,-86.24387349999999,44.2068233,-86.15482689999999,44.2023126,True,True,2025/03/02,0,Night,Unknown (Male),Murder,"4,548",25.5,5.75,19.8%,5.6,7.9,1.8,4.3,40.2%,67.9%,59.6%,40.4%,84.4%,2.57%,115890.0,8.162,11.018,2.84,50251.92857142857,632.2142857142857,289907.0714285714,123.0,121.0,Above Average,734.0,324.0,165.0,80.0,56.0,31.0,78.0,11.83,In_the_Mid_1800_s_a_family_of_four_died_in_a_tragi.png,a train traveling over a bridge over a river .,"lakeside, lakeshore (0.72), boathouse (0.09), valley, vale (0.08), dam, dike, dyke (0.02)","['DATE', 'CARDINAL', 'CARDINAL']","[""the Mid 1800's"", 'four', '2']",,,,"lakeside, lakeshore (0.72), boathouse (0.09), valley, vale (0.08), dam, dike, dyke (0.02)"
Taylor,United States,Located off of Eureka road there have been images of people dancing at night and you can also hear singing. There is also a young woman wearing a long dress that you can sometimes see in the mall parking lot across the street. She has been seen crossing back and forth.,Methodist Cemetery,Michigan,MI,-83.2547422,42.197511,-83.2696509,42.240872,True,True,2025/01/01,2,Night,Other (Male),Unknown,"4,548",25.5,5.75,19.8%,5.6,7.9,1.8,4.3,40.2%,67.9%,59.6%,40.4%,84.4%,2.57%,115890.0,8.162,11.018,2.84,50251.92857142857,632.2142857142857,289907.0714285714,123.0,121.0,Above Average,734.0,324.0,165.0,80.0,56.0,31.0,78.0,11.83,Located_off_of_Eureka_road_there_have_been_images.png,a stop sign on the corner of a street .,"flagpole, flagstaff (0.55), planetarium (0.07), library (0.04), mobile home, manufactured home (0.04), lakeside, lakeshore (0.03)","['NORP', 'TIME']","['Eureka', 'night']",Eureka County,39.98389,-116.26856,"flagpole, flagstaff (0.55), planetarium (0.07), library (0.04), mobile home, manufactured home (0.04), lakeside, lakeshore (0.03)"
Taylor,United States,The woods back behind Birch street. On Pardee. Is known that if you go back there. You will see Blown up cars. There is a mini van. That got blown up. And in the mini van about 4 or 5 years ago. Was a family sleeping. Some one shot the single mom in the back of her neck. But there were still 3 kids in the back of the van still sleeping. The car was on the street Birch. In front of a house. The house is 4 house's down from the baseball diamond. On the left side. So They say if a Mini Van parks there and you stay in it all night a guy will show up in all black with a gun. And disappear. The guy stole the single moms car and then blown it up. With the kids still in the back sleeping. So be careful going back in the Senders and walking in to the darkness of Famous Feild.,"Pardee road. The woods ""Farmous Feild"".",Michigan,MI,,,-83.2696509,42.240872,False,True,2025/03/04,0,Night,Unknown (Male),Murder,"4,548",25.5,5.75,19.8%,5.6,7.9,1.8,4.3,40.2%,67.9%,59.6%,40.4%,84.4%,2.57%,115890.0,8.162,11.018,2.84,50251.92857142857,632.2142857142857,289907.0714285714,123.0,121.0,Above Average,734.0,324.0,165.0,80.0,56.0,31.0,78.0,11.83,The_woods_back_behind_Birch_street__On_Pardee__Is.png,a car parked in front of a house .,"jeep, landrover (0.63), beach wagon, station wagon, wagon, estate car, beach waggon, station waggon, waggon (0.25), minibus (0.02)","['LOC', 'ORG', 'CARDINAL', 'CARDINAL', 'CARDINAL', 'ORG', 'PERSON']","['Birch street', 'Pardee', 'about 4', '3', '4', 'Senders', 'Famous Feild']",Taipei,24.98473,121.78432,"jeep, landrover (0.63), beach wagon, station wagon, wagon, estate car, beach waggon, station waggon, waggon (0.25), minibus (0.02)"
Taylor,United States,"If you go to a place called ""the figure 8"" on the end of birtch. You will always see ghost. At night around 10 or 11. Go in there a screem ""i hurt your car"" and u will hear a car start and tire take off. Then u see head lights.",Taylor,Michigan,MI,-83.2696509,42.240872,-83.2696509,42.240872,True,True,2025/05/13,0,Night,Ghost (Male),Supernatural,"4,548",25.5,5.75,19.8%,5.6,7.9,1.8,4.3,40.2%,67.9%,59.6%,40.4%,84.4%,2.57%,115890.0,8.162,11.018,2.84,50251.92857142857,632.2142857142857,289907.0714285714,123.0,121.0,Above Average,734.0,324.0,165.0,80.0,56.0,31.0,78.0,11.83,If_you_go_to_a_place_called__the_figure_8__on_the.png,a black and white photo of a snow covered street .,"park bench (0.14), lakeside, lakeshore (0.09), fountain (0.08), bannister, banister, balustrade, balusters, handrail (0.07), chainlink fence (0.06)",['CARDINAL'],['8'],Taylor County,32.30147,-99.89012,"park bench (0.14), lakeside, lakeshore (0.09), fountain (0.08), bannister, banister, balustrade, balusters, handrail (0.07), chainlink fence (0.06)"
Tecumseh,United States,Community center trails/ woods - local legend is that a 9 yr old girl was kidnapped and murdered in these woods you can see a light floating on the trails and in the entrance you can see a figure of a little girl in a white nightgown holding a teddy bear.,Lenawee County,Michigan,MI,-83.9449417,42.0039331,-83.9449417,42.0039331,False,True,2020/03/13,0,Night,Other (Male),Murder,"4,548",25.5,5.75,19.8%,5.6,7.9,1.8,4.3,40.2%,67.9%,59.6%,40.4%,84.4%,2.57%,115890.0,8.162,11.018,2.84,50251.92857142857,632.2142857142857,289907.0714285714,123.0,121.0,Above Average,734.0,324.0,165.0,80.0,56.0,31.0,78.0,11.83,Community_center_trails__woods___local_legend_is_t.png,a black and white photo of a park bench,"cloak (0.71), vestment (0.03), fur coat (0.03)",['CARDINAL'],['9'],Lenawee County,41.89508,-84.06636,"cloak (0.71), vestment (0.03), fur coat (0.03)"
Thunder Bay Island,United States,"this uninhabited island on Lake Huron is haunted by a lighthouse keeper named Morgan. It is not known how or why his spirit dwells the lighthouse and island, but those who pass by the island claim to see and feel his presence walking the shoreline.",Thunder Bay Island Lighthouse,Michigan,MI,-84.51829699999999,44.9097303,-84.51829699999999,44.9097303,False,True,0215/03/13,0,Unknown,Ghost (Male),Supernatural,"4,548",25.5,5.75,19.8%,5.6,7.9,1.8,4.3,40.2%,67.9%,59.6%,40.4%,84.4%,2.57%,115890.0,8.162,11.018,2.84,50251.92857142857,632.2142857142857,289907.0714285714,123.0,121.0,Above Average,734.0,324.0,165.0,80.0,56.0,31.0,78.0,11.83,this_uninhabited_island_on_Lake_Huron_is_haunted_b.png,a white lighthouse with a lighthouse on the side .,"beacon, lighthouse, beacon light, pharos (0.95)","['LOC', 'PERSON']","['Lake Huron', 'Morgan']",Salt Lake City,40.76078,-111.89105,"beacon, lighthouse, beacon light, pharos (0.95)"
Traverse City,United States,"The restaurant on Old Mission Peninsula is a well-known haunt. The house was supposedly left to Genevieve by her late-husband. Meantime, it's said, all of his other assets were inherited by a mistress. Heart-broken and betrayed, Genevieve later died in the house and is said to still walk the stairs, open windows, blow out candles and appear in an antique mirror in the ladies' second-floor restroom.",Bower's Harbor Inn,Michigan,MI,-85.5285305,44.88618150000001,-85.62063169999999,44.7630567,True,False,2025/01/01,0,Unknown,Unknown (Male),Death,"4,548",25.5,5.75,19.8%,5.6,7.9,1.8,4.3,40.2%,67.9%,59.6%,40.4%,84.4%,2.57%,115890.0,8.162,11.018,2.84,50251.92857142857,632.2142857142857,289907.0714285714,123.0,121.0,Above Average,734.0,324.0,165.0,80.0,56.0,31.0,78.0,11.83,The_restaurant_on_Old_Mission_Peninsula_is_a_well_.png,a black and white photo of a building with a clock tower .,"streetcar, tram, tramcar, trolley, trolley car (0.41), passenger car, coach, carriage (0.31), viaduct (0.04)","['LOC', 'PERSON', 'ORDINAL']","['Old Mission Peninsula', 'Genevieve', 'second']",Old Mission Peninsula School,44.87361,-85.52091,"streetcar, tram, tramcar, trolley, trolley car (0.41), passenger car, coach, carriage (0.31), viaduct (0.04)"
Traverse City,United States,Haunted by a little girl and janitor killed in a fire. She drew a simile face on the window that is still seen to this day.,Central Grade School,Michigan,MI,-85.6268094,44.7599318,-85.62063169999999,44.7630567,False,True,2025/01/01,1,Unknown,Ghost (Male),Murder,"4,548",25.5,5.75,19.8%,5.6,7.9,1.8,4.3,40.2%,67.9%,59.6%,40.4%,84.4%,2.57%,115890.0,8.162,11.018,2.84,50251.92857142857,632.2142857142857,289907.0714285714,123.0,121.0,Above Average,734.0,324.0,165.0,80.0,56.0,31.0,78.0,11.83,Haunted_by_a_little_girl_and_janitor_killed_in_a_f.png,a black and white photo of a cat looking out a window .,"wardrobe, closet, press (0.28), medicine chest, medicine cabinet (0.24), china cabinet, china closet (0.21), file, file cabinet, filing cabinet (0.06), window screen (0.02)",['DATE'],['this day'],Central Grade School,37.35225,-96.45029,"wardrobe, closet, press (0.28), medicine chest, medicine cabinet (0.24), china cabinet, china closet (0.21), file, file cabinet, filing cabinet (0.06), window screen (0.02)"
Traverse City,United States,A old woman has been seen walking up and down the road at various hours of the day. She can be heard yelling towards houses and at passing neighbors. It is said she used to have own many homes and is a disgruntled landlord. She is mostly seen sitting near a gazebo in front of her old house.,East Mobile Trail,Michigan,MI,-85.6718995,44.653019,-85.62063169999999,44.7630567,True,True,2025/01/01,1,Unknown,Unknown (Male),Violence,"4,548",25.5,5.75,19.8%,5.6,7.9,1.8,4.3,40.2%,67.9%,59.6%,40.4%,84.4%,2.57%,115890.0,8.162,11.018,2.84,50251.92857142857,632.2142857142857,289907.0714285714,123.0,121.0,Above Average,734.0,324.0,165.0,80.0,56.0,31.0,78.0,11.83,A_old_woman_has_been_seen_walking_up_and_down_the.png,a black and white photo of a street sign,"picket fence, paling (0.16), library (0.12), flagpole, flagstaff (0.10), prison, prison house (0.04), lakeside, lakeshore (0.04)",['TIME'],['at various hours of the day'],,,,"picket fence, paling (0.16), library (0.12), flagpole, flagstaff (0.10), prison, prison house (0.04), lakeside, lakeshore (0.04)"
Traverse City,United States,A young man is seen looking out a window holding a computer. He has been heard many times saying he has plenty of hard drive but not enough ram. For some reason he points to his head and repeats snood over and over. He is believed to have been killed at McDonalds by a crazed driver in the parking lot while attempting to call for help on his cell phone.,Golden Rod Road,Michigan,MI,-85.664459,44.7006921,-85.62063169999999,44.7630567,True,True,2025/01/01,1,Unknown,Unknown (Male),Murder,"4,548",25.5,5.75,19.8%,5.6,7.9,1.8,4.3,40.2%,67.9%,59.6%,40.4%,84.4%,2.57%,115890.0,8.162,11.018,2.84,50251.92857142857,632.2142857142857,289907.0714285714,123.0,121.0,Above Average,734.0,324.0,165.0,80.0,56.0,31.0,78.0,11.83,A_young_man_is_seen_looking_out_a_window_holding_a.png,a man sitting in front of a laptop computer .,"computer keyboard, keypad (0.59), typewriter keyboard (0.09), space bar (0.08), laptop, laptop computer (0.06), notebook, notebook computer (0.04)",['ORG'],['McDonalds'],,,,"computer keyboard, keypad (0.59), typewriter keyboard (0.09), space bar (0.08), laptop, laptop computer (0.06), notebook, notebook computer (0.04)"
Traverse City,United States,People who live down in Hoosier Valley have seen a man walking around at night dragging chains behind him. One time residents of a house down there walked outside and saw him standing behind a pine tree in their front yard. They went inside and the next morning they went out to the tree and the tree had been cut down and there was no sign of the man. It is said that if you go outside at night you can hear him walking around in the woods dragging his chains.,Hoosier Valley,Michigan,MI,-85.6169872,44.6525599,-85.62063169999999,44.7630567,True,True,2025/01/01,2,Morning,Unknown (Male),Unknown,"4,548",25.5,5.75,19.8%,5.6,7.9,1.8,4.3,40.2%,67.9%,59.6%,40.4%,84.4%,2.57%,115890.0,8.162,11.018,2.84,50251.92857142857,632.2142857142857,289907.0714285714,123.0,121.0,Above Average,734.0,324.0,165.0,80.0,56.0,31.0,78.0,11.83,People_who_live_down_in_Hoosier_Valley_have_seen_a.png,a bench sitting in the middle of a park .,"park bench (0.17), lakeside, lakeshore (0.10), barn (0.04), megalith, megalithic structure (0.04), viaduct (0.03)","['LOC', 'CARDINAL', 'TIME', 'TIME']","['Hoosier Valley', 'One', 'the next morning', 'night']",,,,"park bench (0.17), lakeside, lakeshore (0.10), barn (0.04), megalith, megalithic structure (0.04), viaduct (0.03)"
Traverse City,United States,The Playhouse was once a church.  There was either and accident or a suicide that today results in the organist/piano player haunting the Playhouse.  He mostly plays tricks as he will turn lights on and off just to get a laugh or two.  Some even say they can hear his music at night.,Olde Town Playhouse,Michigan,MI,-85.6212858,44.759237,-85.62063169999999,44.7630567,True,False,2025/01/01,0,Night,Ghost (Male),Suicide,"4,548",25.5,5.75,19.8%,5.6,7.9,1.8,4.3,40.2%,67.9%,59.6%,40.4%,84.4%,2.57%,115890.0,8.162,11.018,2.84,50251.92857142857,632.2142857142857,289907.0714285714,123.0,121.0,Above Average,734.0,324.0,165.0,80.0,56.0,31.0,78.0,11.83,The_Playhouse_was_once_a_church___There_was_either.png,a group of men standing next to each other .,"organ, pipe organ (0.96)","['ORG', 'DATE', 'GPE', 'CARDINAL', 'TIME']","['Playhouse', 'today', 'Playhouse', 'two', 'night']",,,,"organ, pipe organ (0.96)"
Traverse City,United States,in the evening at dusk you will sometimes see a woman in a white gown and white hanky on her head walking down sawyer rd. carrying a candle and appears to be in a trance.,Sawyer Road,Michigan,MI,-85.67650139999999,44.655635,-85.62063169999999,44.7630567,False,True,2025/01/01,1,Evening,Unknown (Male),Unknown,"4,548",25.5,5.75,19.8%,5.6,7.9,1.8,4.3,40.2%,67.9%,59.6%,40.4%,84.4%,2.57%,115890.0,8.162,11.018,2.84,50251.92857142857,632.2142857142857,289907.0714285714,123.0,121.0,Above Average,734.0,324.0,165.0,80.0,56.0,31.0,78.0,11.83,in_the_evening_at_dusk_you_will_sometimes_see_a_wo.png,a close up of a person holding an open umbrella,"abaya (0.35), cloak (0.27), mosquito net (0.05), shower curtain (0.02), poncho (0.02)",['TIME'],['dusk'],Sawyer Road Elementary School,33.98621,-84.52716,"abaya (0.35), cloak (0.27), mosquito net (0.05), shower curtain (0.02), poncho (0.02)"
Traverse City,United States,"closed down in 1989. - The Traverse City State Hospital is in many ways considered haunted by locals. If you try enter the hospital with religious material such as: Bibles, holy water flasks, or crosses, they are destroyed before entering the building. On the grounds of the hospital, you can see various ghosts. You can also hear the voices and screams bellow from the hallways of the psych wards. Sightings of little baby's and old people walking inside on different floors and ghostly figures that chase the people that dare to even go inside. Sightings of disfigured creatures roam the basements and tunnels. On various occasions you will see lights on in the rooms of the patients, but no electricity is connected to them and the power has been inactive for years. It isn't even unusual to find possessions on the grounds. -  A WARNING TO ALL THAT INVESTIGATE THE AREA. TRESSPASSERS ARE NOT ALLOWED. THERE IS A SECURITY SERVICE THAT WILL ESCORT YOU OFF THE PREMISES IF FOUND.",Traverse City State Hospital,Michigan,MI,-85.64321439999999,44.75636129999999,-85.62063169999999,44.7630567,True,True,1881/03/13,0,Unknown,Ghost (Male),Supernatural,"4,548",25.5,5.75,19.8%,5.6,7.9,1.8,4.3,40.2%,67.9%,59.6%,40.4%,84.4%,2.57%,115890.0,8.162,11.018,2.84,50251.92857142857,632.2142857142857,289907.0714285714,123.0,121.0,Above Average,734.0,324.0,165.0,80.0,56.0,31.0,78.0,11.83,closed_down_in_1989____The_Traverse_City_State_Hos.png,a black and white photo of a train,"prison, prison house (0.81)","['DATE', 'ORG', 'DATE']","['1989', 'The Traverse City State Hospital', 'years']",,,,"prison, prison house (0.81)"
Traverse City,United States,"The Chapel - In the chapel, the spirit of a priest that was recorded to have committed Suicide in the chapel. The Chapel is one of the only safe places on the premises, and it is the only place where religious material will not be tampered with. -  A WARNING TO ALL THAT INVESTIGATE THE AREA. TRESSPASSERS ARE NOT ALLOWED. THERE IS A SECURITY SERVICE THAT WILL ESCORT YOU OFF THE PREMISES IF FOUND.",Traverse City State Hospital,Michigan,MI,-85.64321439999999,44.75636129999999,-85.62063169999999,44.7630567,False,False,1881/03/13,0,Unknown,"Ghost (Male, priest)",Suicide,"4,548",25.5,5.75,19.8%,5.6,7.9,1.8,4.3,40.2%,67.9%,59.6%,40.4%,84.4%,2.57%,115890.0,8.162,11.018,2.84,50251.92857142857,632.2142857142857,289907.0714285714,123.0,121.0,Above Average,734.0,324.0,165.0,80.0,56.0,31.0,78.0,11.83,The_Chapel___In_the_chapel__the_spirit_of_a_priest.png,a living room filled with furniture and a fire place .,"altar (0.50), church, church building (0.33), vault (0.06)",['PRODUCT'],['Chapel'],,,,"altar (0.50), church, church building (0.33), vault (0.06)"
Traverse City,United States,"The Hippie Tree -  A rumor of a gate to hell is open somewhere near the ""hippie tree"". Strange feeling are felt here. -  A WARNING TO ALL THAT INVESTIGATE THE AREA. TRESSPASSERS ARE NOT ALLOWED. THERE IS A SECURITY SERVICE THAT WILL ESCORT YOU OFF THE PREMISES IF FOUND.",Traverse City State Hospital,Michigan,MI,-85.64321439999999,44.75636129999999,-85.62063169999999,44.7630567,False,False,1881/03/13,0,Unknown,Unknown (Male),Violence,"4,548",25.5,5.75,19.8%,5.6,7.9,1.8,4.3,40.2%,67.9%,59.6%,40.4%,84.4%,2.57%,115890.0,8.162,11.018,2.84,50251.92857142857,632.2142857142857,289907.0714285714,123.0,121.0,Above Average,734.0,324.0,165.0,80.0,56.0,31.0,78.0,11.83,The_Hippie_Tree____A_rumor_of_a_gate_to_hell_is_op.png,a black and white photo of a giraffe,"swab, swob, mop (0.23), mask (0.18), birdhouse (0.02)",['ORG'],['The Hippie Tree -  '],,,,"swab, swob, mop (0.23), mask (0.18), birdhouse (0.02)"
Trenton,United States,"A family called the Church family built the old hospital in the 1800s. It was their house until they died and their other family members didn't want anything to do with the house, so Henry Ford bought the old house and turned it into a hospital in 1944. The kids included in the family were two boys and a 9-year-old girl. The 9-year old girl loved horses so they had five horses. So, in that case, there are horse stables in the back. The little girl loved her horse and rode it everyday. Until one day, the little girl fell off the horse and broke her arm. The dad got mad and thought it was the horse's fault that his little girl broke her arm. So while she was at school one day, her dad killed the horse for hurting his little girl. The dad and his friend buried the horse on the side of their house. If you go to the side of the house where the dad and his friend buried the horse, there will be a little hill where the horse is. When the little girl came home and found out what her dad did, everyday from then on, she would come home from school, lock hers in her room, put her rocking chair in front of her window and she would sing to herself. Well, when the family died and Henry Ford bought the house, that was then the hospital, there was an old man that was in the hospital and his hospital room was what used to be the little girl's bedroom. While he was lying there in his bed, he heard singing, then he heard footsteps. When he got out of the hospital, he had someone set up thermal cameras in the room he was in and sure enough, they saw a figure in front of the window. After Henry Ford bought the hospital, six doctors wanted to build a bigger one and that's how the newer Riverside Hospital came about. They ended up closing down the old hospital 5 years ago because they found black mold growing in the building, which can kill you. They closed down the newer hospital one year ago because it was too much to keep up. Also, the Henry Ford company wanted to move everything to Wyandotte so Riverside lost business. There is a stack by the hospital. In a little tunnel thing outside of the new hospital, there is a furnace type thing. That's where they burned the amputated body parts of people. Also in that little tunnel, is the old morgue. THERE WAS A LITTLE GIRL SEEN IN THE WINDOW THAT WAS MENTIONED ABOVE. SHE WAS WEARING A WHITE DRESS WITH BROWN CURLY HAIR AND BOWS IN HER HAIR. BLINDS HAVE BEEN SEEN GOING UP AND DOWN. SCREAMS WERE HEARD.-",The Old Riverside Hospital,Michigan,MI,,,-83.1782587,42.1394858,True,True,1944/03/13,2,Unknown,"Other (Male, doctor)",Murder,"4,548",25.5,5.75,19.8%,5.6,7.9,1.8,4.3,40.2%,67.9%,59.6%,40.4%,84.4%,2.57%,115890.0,8.162,11.018,2.84,50251.92857142857,632.2142857142857,289907.0714285714,123.0,121.0,Above Average,734.0,324.0,165.0,80.0,56.0,31.0,78.0,11.83,A_family_called_the_Church_family_built_the_old_ho.png,a black and white photo of a church with a clock tower .,"palace (0.28), castle (0.21), monastery (0.13), church, church building (0.04)","['ORG', 'DATE', 'PERSON', 'DATE', 'CARDINAL', 'DATE', 'DATE', 'CARDINAL', 'DATE', 'PERSON', 'PERSON', 'CARDINAL', 'ORG', 'DATE', 'DATE', 'ORG', 'ORG', 'GPE']","['Church', 'the 1800s', 'Henry Ford', '1944', 'two', '9-year-old', '9-year old', 'five', 'one day', 'Henry Ford', 'Henry Ford', 'six', 'Riverside Hospital', '5 years ago', 'one year ago', 'the Henry Ford', 'Wyandotte so Riverside', 'HEARD.-']",Riverside County,33.74368,-115.99386,"palace (0.28), castle (0.21), monastery (0.13), church, church building (0.04)"
Troy,United States,"About 10 years ago a student was driving into the parking lot, but did not see that the gates were closed. The student was driving with such force that he drove straight through the gates, taking off the roof of his car and his head. Late at night people claim to see a white Dodge Spirit driving around the parking lot screaming loudly and honking the horn. - October 2005 Correction: While this event did happen, the student was NEARLY decapitated. There was no death & he is alive and well.",Athens High School,Michigan,MI,-83.11195029999999,42.5819665,-83.1497751,42.6064095,False,True,2025/05/13,0,Night,"Ghost (Male, student)",Death,"4,548",25.5,5.75,19.8%,5.6,7.9,1.8,4.3,40.2%,67.9%,59.6%,40.4%,84.4%,2.57%,115890.0,8.162,11.018,2.84,50251.92857142857,632.2142857142857,289907.0714285714,123.0,121.0,Above Average,734.0,324.0,165.0,80.0,56.0,31.0,78.0,11.83,About_10_years_ago_a_student_was_driving_into_the.png,a black and white photo of a car parked in a parking lot .,"beach wagon, station wagon, wagon, estate car, beach waggon, station waggon, waggon (0.32), grille, radiator grille (0.29), cab, hack, taxi, taxicab (0.05), convertible (0.04), limousine, limo (0.03)","['DATE', 'TIME', 'ORG', 'PRODUCT']","['About 10 years ago', 'night', 'Dodge', 'Spirit']",Athens High School,45.03005,-90.08528,"beach wagon, station wagon, wagon, estate car, beach waggon, station waggon, waggon (0.32), grille, radiator grille (0.29), cab, hack, taxi, taxicab (0.05), convertible (0.04), limousine, limo (0.03)"
Troy,United States,"There is a guy who owns that sledding hill. Back in the 1980s he was sledding down the hill, fell down and broke his neck. People say that at night after when everyone is gone, the guy comes out and walks up and down the hill to make sure everyone is leaving. It is also heard that he drives a white van.",Barn Sledding,Michigan,MI,-83.220207,42.6067135,-83.1497751,42.6064095,True,False,2025/01/01,2,Night,Unknown (Male),Unknown,"4,548",25.5,5.75,19.8%,5.6,7.9,1.8,4.3,40.2%,67.9%,59.6%,40.4%,84.4%,2.57%,115890.0,8.162,11.018,2.84,50251.92857142857,632.2142857142857,289907.0714285714,123.0,121.0,Above Average,734.0,324.0,165.0,80.0,56.0,31.0,78.0,11.83,There_is_a_guy_who_owns_that_sledding_hill__Back_i.png,a black and white photo of a snow covered mountain .,"geyser (0.19), Angora, Angora rabbit (0.09), Samoyed, Samoyede (0.04), dam, dike, dyke (0.04), West Highland white terrier (0.03)","['DATE', 'TIME']","['the 1980s', 'night']",,,,"geyser (0.19), Angora, Angora rabbit (0.09), Samoyed, Samoyede (0.04), dam, dike, dyke (0.04), West Highland white terrier (0.03)"
Troy,United States,"It is a restaurant. Used to be family home. The woman of the house hung herself. Waitress told us sometimes doors slam shut, lights turn on and off. Nobody will close by themselves. Located on Rochester rd.",Camp Ticonderoga,Michigan,MI,-83.13017119999999,42.6027214,-83.1497751,42.6064095,False,False,2025/01/01,0,Unknown,Unknown (Male),Unknown,"4,548",25.5,5.75,19.8%,5.6,7.9,1.8,4.3,40.2%,67.9%,59.6%,40.4%,84.4%,2.57%,115890.0,8.162,11.018,2.84,50251.92857142857,632.2142857142857,289907.0714285714,123.0,121.0,Above Average,734.0,324.0,165.0,80.0,56.0,31.0,78.0,11.83,It_is_a_restaurant__Used_to_be_family_home__The_wo.png,a red brick building with a white door,"restaurant, eating house, eating place, eatery (0.18), window screen (0.08), flagpole, flagstaff (0.06), tobacco shop, tobacconist shop, tobacconist (0.06), bakery, bakeshop, bakehouse (0.05)",['GPE'],['Rochester'],Town of Rochester,41.75998,-70.83849,"restaurant, eating house, eating place, eatery (0.18), window screen (0.08), flagpole, flagstaff (0.06), tobacco shop, tobacconist shop, tobacconist (0.06), bakery, bakeshop, bakehouse (0.05)"
Union,United States,The man who used to live here hung his whole family from the willow tree in back. Then he hung himself in the house. If you leave your car outside the house someone or something will do something with it.,Kessington House,Michigan,MI,,,-85.1271907,42.03431579999999,False,False,2025/01/01,0,Unknown,Unknown (Male),Unknown,"4,548",25.5,5.75,19.8%,5.6,7.9,1.8,4.3,40.2%,67.9%,59.6%,40.4%,84.4%,2.57%,115890.0,8.162,11.018,2.84,50251.92857142857,632.2142857142857,289907.0714285714,123.0,121.0,Above Average,734.0,324.0,165.0,80.0,56.0,31.0,78.0,11.83,The_man_who_used_to_live_here_hung_his_whole_famil.png,a black and white photo of a man and a dog,"barn (0.20), mosquito net (0.13), picket fence, paling (0.09), window screen (0.09), fountain (0.06)",,,,,,"barn (0.20), mosquito net (0.13), picket fence, paling (0.09), window screen (0.09), fountain (0.06)"
Union Lake,United States,"Highland Lakes Campus was once a hospital. It has been known to be haunted in the tunnel leading from Highland Hall to High Oak Hall. Most people will not even go down in the basement of Highland Hall (where the tunnel is) due to the fact it had served as the morgue. There have been sightings of ghosts believed to have died there. In Highland Hall there have been sightings especially of an elderly man just walking into the offices there. Cold spots and items missing have also been reported. At night screams have been heard along with noises that cannot be explained. - November 2003 update: many other students have experienced strange things there. The middle stairwell of Highland Hall always has an eerie feeling to it, especially on the second floor landing by the window. The feeling of someone walking behind you, and a sense of fear over come you. If you walk up to the fourth floor landing, you will see a medal door, which is locked, the eerie feeling is even stronger there.",Oakland Community College,Michigan,MI,-83.4303358,42.6201893,-83.4468828,42.6147541,True,True,1964/03/13,4,Night,"Ghost (Male, student)",Death,"4,548",25.5,5.75,19.8%,5.6,7.9,1.8,4.3,40.2%,67.9%,59.6%,40.4%,84.4%,2.57%,115890.0,8.162,11.018,2.84,50251.92857142857,632.2142857142857,289907.0714285714,123.0,121.0,Above Average,734.0,324.0,165.0,80.0,56.0,31.0,78.0,11.83,Highland_Lakes_Campus_was_once_a_hospital__It_has.png,a black and white photo of a kitchen .,"prison, prison house (0.92)","['FAC', 'FAC', 'FAC', 'TIME', 'DATE', 'FAC', 'ORDINAL', 'ORDINAL']","['Highland Hall', 'Highland Hall', 'Highland Hall', 'night', 'November 2003', 'Highland Hall', 'second', 'fourth']",Louisiana State University Highland Hall,30.41246,-91.17503,"prison, prison house (0.92)"
